side,entry_minute,entry_improve_cents,ttl_minutes,max_entry_spread_cents,attempts,fills,fill_rate,win_rate_given_fill,mean_entry_px_filled,mean_settle_pnl_cents_per_fill,mean_settle_pnl_cents_per_attempt,ev_cents_per_hour_per_contract
YES,10,2,1,40,3724,2241,0.6017722878625135,0.4100847835787595,44.33244087460955,-3.323962516733601,-2.000268528464017,-8.001074113856069
YES,5,0,1,40,3734,1974,0.5286555972147831,0.4316109422492401,46.97315096251266,-3.8120567375886525,-2.015265131226567,-8.061060524906267
YES,3,1,2,40,3731,2558,0.6856070758509782,0.4519155590304926,48.170054730258016,-2.9784988272087567,-2.042079871348164,-8.168319485392656
NO,10,2,1,40,3724,2258,0.6063372717508055,0.3981399468556244,43.198848538529674,-3.3848538529672276,-2.0523630504833514,-8.209452201933406
YES,3,0,2,40,3731,2373,0.6360225140712945,0.44121365360303416,47.35061104087653,-3.229245680573114,-2.053872956311981,-8.215491825247923
YES,3,2,2,40,3731,2666,0.7145537389439829,0.45911477869467365,48.82070517629408,-2.9092273068267067,-2.078799249530957,-8.315196998123827
YES,5,1,1,40,3734,2208,0.5913229780396357,0.44067028985507245,47.59646739130435,-3.5294384057971016,-2.0870380289234065,-8.348152115693626
NO,8,2,1,40,3726,2288,0.6140633387010198,0.4222027972027972,45.66520979020979,-3.44493006993007,-2.1154052603327966,-8.461621041331187
YES,1,1,1,40,3681,2119,0.5756587883727248,0.44549315714959886,48.2420953279849,-3.692779613025012,-2.125781037761478,-8.503124151045911
YES,3,1,1,40,3731,2222,0.5955507906727419,0.44284428442844287,47.857785778577856,-3.5733573357335735,-2.128115786652372,-8.512463146609488
YES,4,0,2,40,3731,2354,0.6309300455641919,0.43457943925233644,46.840271877655056,-3.3823279524214103,-2.1340123291342805,-8.536049316537122
NO,12,1,2,40,3688,2230,0.6046637744034707,0.31434977578475337,34.96457399103139,-3.529596412556054,-2.134219088937093,-8.536876355748372
NO,12,0,2,40,3688,2082,0.5645336225596529,0.2896253602305475,32.76945244956772,-3.8069164265129682,-2.1491323210412148,-8.596529284164859
YES,1,2,1,40,3681,2258,0.6134202662320022,0.4534986713906112,48.85828166519043,-3.508414526129318,-2.15213257267047,-8.60853029068188
YES,3,2,1,40,3731,2359,0.6322701688555347,0.45103857566765576,48.53751589656634,-3.433658329800763,-2.170999731975342,-8.683998927901367
YES,4,1,2,40,3731,2534,0.6791744840525328,0.44396211523283347,47.59313338595106,-3.196921862667719,-2.1712677566336103,-8.685071026534441
YES,7,0,2,40,3727,2299,0.6168500134156157,0.4158329708568943,45.109612875163116,-3.526315789473684,-2.17520794204454,-8.70083176817816
YES,8,2,2,40,3726,2525,0.6776704240472357,0.42495049504950494,45.714059405940596,-3.219009900990099,-2.1814278046162103,-8.725711218464841
NO,11,2,1,40,3716,2177,0.5858449946178687,0.377124483233808,41.44235186035829,-3.729903536977492,-2.1851453175457483,-8.740581270182993
YES,12,0,1,40,3688,1743,0.47261388286334055,0.2868617326448652,33.31669535283993,-4.6305220883534135,-2.1884490238611716,-8.753796095444686
YES,4,2,2,40,3731,2651,0.7105333690699545,0.45152772538664654,48.235760090531876,-3.08298755186722,-2.1905655320289465,-8.762262128115786
YES,6,1,1,40,3728,2170,0.5820815450643777,0.43410138248847924,47.178341013824884,-3.7682027649769587,-2.193401287553648,-8.773605150214593
YES,9,1,1,40,3729,2053,0.5505497452400108,0.40136385776911837,44.14661471018022,-4.010228933268388,-2.207830517565031,-8.831322070260123
NO,13,1,2,40,3629,1986,0.5472581978506476,0.24370594159113795,28.431520644511583,-4.0609264853977844,-2.2223753100027555,-8.889501240011022
NO,13,1,3,40,3629,1986,0.5472581978506476,0.24370594159113795,28.431520644511583,-4.0609264853977844,-2.2223753100027555,-8.889501240011022
YES,9,0,2,40,3729,2260,0.6060606060606061,0.39557522123893807,43.24026548672566,-3.682743362831858,-2.2319656744435505,-8.927862697774202
YES,12,1,1,40,3688,1932,0.5238611713665944,0.30952380952380953,35.215320910973084,-4.262939958592132,-2.2331887201735356,-8.932754880694143
YES,2,2,2,40,3722,2688,0.722192369693713,0.45349702380952384,48.44345238095238,-3.09375,-2.234282643739925,-8.9371305749597
YES,6,0,1,40,3728,1930,0.5177038626609443,0.4243523316062176,46.7678756476684,-4.332642487046632,-2.2430257510729614,-8.972103004291846
YES,5,2,1,40,3734,2350,0.6293519014461704,0.44553191489361704,48.12340425531915,-3.570212765957447,-2.24692019282271,-8.98768077129084
NO,11,1,1,40,3716,2074,0.5581270182992465,0.3674059787849566,40.78351012536162,-4.042912246865959,-2.256458557588805,-9.02583423035522
NO,12,2,2,40,3688,2306,0.6252711496746204,0.3217692974848222,35.81006071118821,-3.6331309627059842,-2.2716919739696313,-9.086767895878525
NO,13,0,2,40,3629,1902,0.5241113254340038,0.2181913774973712,26.164563617245005,-4.3454258675078865,-2.277486910994764,-9.109947643979057
NO,13,0,3,40,3629,1902,0.5241113254340038,0.2181913774973712,26.164563617245005,-4.3454258675078865,-2.277486910994764,-9.109947643979057
YES,12,2,1,40,3688,2032,0.5509761388286334,0.32234251968503935,36.37057086614173,-4.136318897637795,-2.2790130151843817,-9.116052060737527
NO,5,1,1,40,3734,2259,0.6049812533476165,0.43691899070385126,47.46082337317397,-3.768924302788845,-2.280128548473487,-9.120514193893948
YES,8,1,2,40,3726,2401,0.6443907675791734,0.4148271553519367,45.029154518950435,-3.546438983756768,-2.2852925389157273,-9.141170155662909
YES,6,2,1,40,3728,2306,0.6185622317596566,0.4388551604509974,47.639202081526456,-3.753686036426713,-2.3218884120171674,-9.28755364806867
NO,13,2,2,40,3629,2035,0.5607605400936897,0.24914004914004914,29.064864864864866,-4.150859950859951,-2.3276384678974926,-9.31055387158997
NO,13,2,3,40,3629,2035,0.5607605400936897,0.24914004914004914,29.064864864864866,-4.150859950859951,-2.3276384678974926,-9.31055387158997
YES,11,0,1,40,3716,1782,0.47954790096878364,0.3451178451178451,39.37149270482604,-4.859708193041526,-2.330462863293864,-9.321851453175457
NO,9,2,2,40,3729,2588,0.6940198444623223,0.40146831530139104,43.52241112828439,-3.375579598145286,-2.34271922767498,-9.37087691069992
YES,9,2,1,40,3729,2174,0.5829981228211317,0.40846366145354185,44.870285188592455,-4.02391904323827,-2.345937248592116,-9.383748994368464
YES,7,1,2,40,3727,2480,0.665414542527502,0.4266129032258065,46.19112903225806,-3.5298387096774193,-2.348806010195868,-9.395224040783472
YES,7,2,2,40,3727,2611,0.7005634558626241,0.4346993489084642,46.85024894676369,-3.3803140559172733,-2.368124496914408,-9.472497987657633
NO,3,0,1,40,3731,2004,0.5371214151701956,0.43213572854291415,47.624251497005986,-4.410678642714571,-2.3690699544358083,-9.476279817743233
NO,0,0,1,40,54,16,0.2962962962962963,0.5625,64.25,-8.0,-2.3703703703703702,-9.481481481481481
NO,11,0,1,40,3716,1832,0.4930032292787944,0.3471615720524017,39.532751091703055,-4.816593886462882,-2.3745963401506995,-9.498385360602798
NO,8,0,2,40,3726,2301,0.6175523349436393,0.39852238157322906,43.70882225119513,-3.8565840938722293,-2.3816425120772946,-9.526570048309178
NO,9,1,2,40,3729,2483,0.6658621614373826,0.3914619412001611,42.732581554571084,-3.586387434554974,-2.3880396889246445,-9.552158755698578
YES,2,2,3,40,3722,2847,0.7649113379903277,0.4541622760800843,48.54759395855286,-3.131366350544433,-2.395217624932832,-9.580870499731327
NO,9,0,2,40,3729,2270,0.6087422901582193,0.37533039647577093,41.48590308370044,-3.952863436123348,-2.406275140788415,-9.62510056315366
NO,12,1,3,40,3688,2339,0.6342190889370932,0.30910645575032064,34.71098760153912,-3.8003420265070544,-2.4102494577006506,-9.640997830802602
YES,2,1,2,40,3722,2560,0.6878022568511553,0.44453125,47.957421875,-3.504296875,-2.410263299301451,-9.641053197205803
NO,10,0,2,40,3724,2271,0.609828141783029,0.3712021136063408,41.07397622192867,-3.9537648612945837,-2.4111170784103115,-9.644468313641246
YES,11,2,1,40,3716,2129,0.5729278794402584,0.37059652418976047,41.27806481916393,-4.218412400187882,-2.4168460710441333,-9.667384284176533
YES,8,0,2,40,3726,2205,0.5917874396135265,0.3981859410430839,43.90294784580499,-4.0843537414965985,-2.4170692431561998,-9.668276972624799
YES,11,1,1,40,3716,2020,0.5435952637244349,0.36237623762376237,40.68762376237624,-4.45,-2.418998923573735,-9.67599569429494
NO,6,1,1,40,3728,2169,0.58181330472103,0.42784693407100044,46.95389580451821,-4.169202397418165,-2.4256974248927037,-9.702789699570815
YES,4,2,3,40,3731,2823,0.7566336102921469,0.4505844845908608,48.274884874247256,-3.216436415161176,-2.433663897078531,-9.734655588314125
NO,3,2,1,40,3731,2393,0.6413830072366657,0.44922691182615965,48.72085248641872,-3.798161303802758,-2.4360761190029483,-9.744304476011793
NO,3,1,1,40,3731,2241,0.6006432591798445,0.44176706827309237,48.26595269968764,-4.089245872378402,-2.4561779683730904,-9.824711873492362
NO,10,2,2,40,3724,2561,0.6877013963480129,0.3939867239359625,42.9703240921515,-3.571651698555252,-2.4562298603651986,-9.824919441460795
NO,10,1,2,40,3724,2467,0.6624597207303974,0.38508309687880016,42.22294284556141,-3.7146331576813942,-2.460794844253491,-9.843179377013964
NO,0,1,1,40,54,16,0.2962962962962963,0.5625,64.5625,-8.3125,-2.462962962962963,-9.851851851851851
NO,8,1,2,40,3726,2493,0.6690821256038647,0.41034897713598073,44.71801042920176,-3.6831127156036905,-2.4643048845947395,-9.857219538378958
NO,12,0,3,40,3688,2212,0.5997830802603037,0.2825497287522604,32.36392405063291,-4.1089511754068715,-2.464479392624729,-9.857917570498916
NO,5,2,1,40,3734,2395,0.6414033208355651,0.44175365344467643,48.021711899791235,-3.8463465553235907,-2.4670594536689876,-9.86823781467595
NO,4,0,1,40,3731,2002,0.5365853658536586,0.42507492507492506,47.11938061938062,-4.611888111888112,-2.474671669793621,-9.898686679174483
YES,13,1,1,40,3629,1739,0.47919537062551665,0.22254169062679702,27.419206440483038,-5.165037377803335,-2.475062000551116,-9.900248002204464
YES,3,2,3,40,3731,2830,0.7585097829000268,0.4565371024734982,48.92226148409894,-3.2685512367491167,-2.4792280889841867,-9.916912355936747
NO,6,0,1,40,3728,1930,0.5177038626609443,0.4155440414507772,46.344041450777205,-4.789637305699482,-2.4796137339055795,-9.918454935622318
NO,2,0,1,40,3722,2085,0.5601826974744761,0.437410071942446,48.17314148681055,-4.432134292565947,-2.482804943578721,-9.931219774314885
NO,12,2,3,40,3688,2402,0.6513015184381779,0.3180682764363031,35.631557035803496,-3.824729392173189,-2.4910520607375273,-9.964208242950109
YES,2,0,2,40,3722,2394,0.6432025792584632,0.4340016708437761,47.28404344193818,-3.883876357560568,-2.4981192907039227,-9.99247716281569
YES,13,0,1,40,3629,1643,0.45274180214935245,0.19598295800365187,25.12598904443092,-5.527693244065733,-2.5026178010471205,-10.010471204188482
NO,4,1,1,40,3731,2241,0.6006432591798445,0.4390896921017403,48.08701472556894,-4.178045515394913,-2.509514875368534,-10.038059501474136
YES,3,1,3,40,3731,2726,0.7306352184400965,0.4479090242112986,48.227072633895816,-3.4361702127659575,-2.5105869740016082,-10.042347896006433
NO,5,0,1,40,3734,2024,0.5420460632029994,0.424901185770751,47.12252964426877,-4.632411067193676,-2.5109801821103375,-10.04392072844135
YES,3,0,3,40,3731,2577,0.6906995443580809,0.43694218083042297,47.3395421032208,-3.645324020178502,-2.5178236397748592,-10.071294559099437
NO,0,2,1,40,54,16,0.2962962962962963,0.5625,64.875,-8.625,-2.5555555555555554,-10.222222222222221
YES,2,1,3,40,3722,2733,0.7342826437399248,0.44493230881814855,47.985729967069155,-3.492499085254299,-2.564481461579796,-10.257925846319184
YES,6,1,2,40,3728,2501,0.6708690987124464,0.4346261495401839,47.302279088364656,-3.8396641343462616,-2.575912017167382,-10.303648068669528
YES,9,1,2,40,3729,2423,0.6497720568517029,0.4032191498142798,44.30788278992984,-3.985967808501857,-2.589970501474926,-10.359882005899705
YES,8,2,3,40,3726,2707,0.7265163714439077,0.42076099002585887,45.64277798300702,-3.5666789804211305,-2.591250670960816,-10.365002683843263
YES,2,0,3,40,3722,2594,0.6969371305749597,0.43523515805705476,47.25250578257517,-3.7289899768696992,-2.5988715744223536,-10.395486297689414
YES,13,2,1,40,3629,1788,0.49269771286855885,0.22874720357941836,28.149888143176735,-5.275167785234899,-2.599063102783136,-10.396252411132544
YES,4,1,3,40,3731,2720,0.7290270704904851,0.44080882352941175,47.65294117647059,-3.572058823529412,-2.604127579737336,-10.416510318949344
NO,2,1,1,40,3722,2326,0.6249328318108544,0.4458297506448839,48.77472055030095,-4.191745485812554,-2.619559376679205,-10.47823750671682
NO,11,2,2,40,3716,2468,0.6641550053821313,0.3679092382495948,40.76823338735819,-3.9773095623987036,-2.6415500538213132,-10.566200215285253
NO,10,2,3,40,3724,2700,0.7250268528464017,0.3888888888888889,42.54481481481481,-3.655925925925926,-2.6506444683136414,-10.602577873254566
NO,10,0,3,40,3724,2465,0.6619226638023631,0.3630831643002028,40.31561866125761,-4.007302231237323,-2.6525241675617615,-10.610096670247046
NO,1,0,1,40,3681,1878,0.5101874490627547,0.4222577209797657,47.426517571884986,-5.200745473908413,-2.6533550665580004,-10.613420266232001
YES,9,2,2,40,3729,2529,0.6781979082864039,0.4108343218663503,45.01028074337683,-3.926848556741795,-2.6631804773397696,-10.652721909359078
NO,6,2,1,40,3728,2344,0.628755364806867,0.4304607508532423,47.282849829351534,-4.236774744027303,-2.663894849785408,-10.655579399141631
NO,9,2,3,40,3729,2756,0.7390721373022258,0.39985486211901305,43.5899854862119,-3.6044992743105952,-2.6639849825690534,-10.655939930276213
NO,10,1,3,40,3724,2627,0.7054242749731472,0.37913970308336503,41.70498667681766,-3.791016368481157,-2.6742749731471536,-10.697099892588614
YES,4,0,3,40,3731,2575,0.6901634950415438,0.429126213592233,46.79495145631068,-3.8823300970873786,-2.6794425087108014,-10.717770034843205
NO,11,1,2,40,3716,2384,0.6415500538213132,0.3578020134228188,39.96057046979866,-4.180369127516778,-2.6819160387513454,-10.727664155005382
YES,7,0,3,40,3727,2493,0.6689026026294607,0.4091456077015644,44.92699558764541,-4.012434817488969,-2.6839280922994364,-10.735712369197746
YES,8,1,3,40,3726,2610,0.7004830917874396,0.410727969348659,44.92490421455939,-3.8521072796934868,-2.698336017176597,-10.793344068706388
NO,9,1,3,40,3729,2665,0.7146688120139447,0.38911819887429644,42.69343339587242,-3.781613508442777,-2.702601233574685,-10.81040493429874
NO,8,2,2,40,3726,2603,0.6986044015029522,0.4145217057241644,45.34805993084902,-3.8958893584325778,-2.7216854535695116,-10.886741814278047
NO,8,0,3,40,3726,2516,0.6752549651100376,0.390302066772655,43.08028616852146,-4.0500794912559615,-2.7348362855609234,-10.939345142243694
NO,4,2,1,40,3731,2399,0.6429911551862771,0.4414339308045019,48.40433513964152,-4.26094205919133,-2.7397480568212274,-10.95899222728491
NO,1,1,1,40,3681,2058,0.5590872045639772,0.4324586977648202,48.17832847424684,-4.932458697764821,-2.7576745449606084,-11.030698179842434
NO,3,2,2,40,3731,2726,0.7306352184400965,0.4471753484959648,48.50256786500367,-3.78503301540719,-2.765478424015009,-11.061913696060037
YES,5,1,2,40,3734,2560,0.6855918585966791,0.4328125,47.325390625,-4.044140625,-2.7726298875200857,-11.090519550080343
YES,1,1,2,40,3681,2424,0.658516707416463,0.43853135313531355,48.06600660066007,-4.212871287128713,-2.7742461287693563,-11.096984515077425
YES,13,0,2,40,3629,1859,0.512262331220722,0.20010758472296933,25.44055944055944,-5.429800968262507,-2.781482502066685,-11.12593000826674
YES,13,0,3,40,3629,1859,0.512262331220722,0.20010758472296933,25.44055944055944,-5.429800968262507,-2.781482502066685,-11.12593000826674
NO,3,0,2,40,3731,2407,0.6451353524524256,0.42958039052762775,47.271292064810964,-4.313253012048193,-2.7826320021441973,-11.130528008576789
YES,7,1,3,40,3727,2642,0.7088811376442179,0.42089326267978805,46.019682059046175,-3.930355791067373,-2.7861550845183793,-11.144620338073517
YES,6,2,2,40,3728,2613,0.7009120171673819,0.43819364714887105,47.80099502487562,-3.981630309988519,-2.790772532188841,-11.163090128755364
NO,9,0,3,40,3729,2495,0.6690801823545186,0.3711422845691383,41.29498997995992,-4.180761523046092,-2.7972646822204346,-11.189058728881738
NO,11,0,2,40,3716,2203,0.5928417653390743,0.33408987743985474,38.12936904221516,-4.720381298229687,-2.798439181916039,-11.193756727664155
YES,13,1,2,40,3629,1938,0.5340314136125655,0.22394220846233232,27.640866873065015,-5.246646026831785,-2.801873794433728,-11.207495177734913
YES,13,1,3,40,3629,1938,0.5340314136125655,0.22394220846233232,27.640866873065015,-5.246646026831785,-2.801873794433728,-11.207495177734913
NO,7,0,1,40,3727,1938,0.5199892675073786,0.40350877192982454,45.744582043343655,-5.393704850361197,-2.804668634290314,-11.218674537161256
YES,5,2,2,40,3734,2657,0.711569362613819,0.4410989838163342,48.052691004892736,-3.942792623259315,-2.805570433851098,-11.222281735404392
YES,1,0,2,40,3681,2254,0.6123336049986416,0.42679680567879325,47.265749778172136,-4.586069210292813,-2.808204292311872,-11.232817169247488
YES,10,1,2,40,3724,2437,0.6544038668098818,0.39433729995896594,43.72958555601149,-4.295855560114895,-2.811224489795918,-11.244897959183673
YES,10,0,2,40,3724,2247,0.6033834586466166,0.37605696484201157,42.28927458834001,-4.683578104138852,-2.8259935553168636,-11.303974221267454
YES,7,2,3,40,3727,2755,0.7392004292997049,0.42903811252268603,46.73067150635209,-3.8268602540834844,-2.8288167426884896,-11.315266970753958
YES,6,0,2,40,3728,2319,0.6220493562231759,0.41828374299266924,46.37990513152221,-4.551530832255282,-2.831276824034335,-11.32510729613734
YES,8,0,3,40,3726,2446,0.6564680622651637,0.3937040065412919,43.69787408013082,-4.327473426001635,-2.840848094471283,-11.363392377885132
NO,7,1,1,40,3727,2199,0.5900187818620874,0.41609822646657574,46.435652569349706,-4.825829922692133,-2.847330292460424,-11.389321169841695
NO,2,2,1,40,3722,2468,0.6630843632455669,0.4497568881685575,49.276337115072934,-4.30064829821718,-2.85169263836647,-11.40677055346588
NO,0,0,3,40,54,19,0.35185185185185186,0.5263157894736842,60.73684210526316,-8.105263157894736,-2.8518518518518516,-11.407407407407407
NO,3,1,2,40,3731,2608,0.6990083087644063,0.43903374233128833,47.98351226993865,-4.080138036809816,-2.8520503886357544,-11.408201554543018
YES,5,0,2,40,3734,2378,0.6368505623995715,0.4213624894869638,46.62363330529857,-4.4873843566021865,-2.857793251205142,-11.431173004820568
NO,4,1,2,40,3731,2638,0.7070490485124632,0.43745261561789234,47.79605761940864,-4.050796057619409,-2.8641114982578397,-11.456445993031359
