side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,8,0,1,3,13,1,1,30,30,taker_exit,584,296,0.5068493150684932,295,0.9966216216216216,44.76013513513514,8,0.43243243243243246,-1.5168918918918919,-2.8886986301369864,-5.699324324324325,-11.554794520547945
NO,8,2,1,0,13,2,0,20,20,taker_exit,562,359,0.6387900355871886,350,0.9749303621169917,46.00557103064067,8,0.44846796657381616,-1.158774373259053,-2.893238434163701,-4.52924791086351,-11.572953736654805
NO,8,1,1,1,13,2,1,40,30,taker_exit,590,343,0.5813559322033899,341,0.9941690962099126,45.142857142857146,8,0.4402332361516035,-1.119533527696793,-2.8949152542372882,-4.979591836734694,-11.579661016949153
NO,8,1,1,1,13,2,1,40,40,taker_exit,590,343,0.5813559322033899,341,0.9941690962099126,45.142857142857146,8,0.4402332361516035,-1.119533527696793,-2.8949152542372882,-4.979591836734694,-11.579661016949153
NO,9,0,1,1,10,2,1,20,20,taker_exit,562,300,0.5338078291814946,296,0.9866666666666667,39.14,9,0.36666666666666664,-2.473333333333333,-2.895017793594306,-5.423333333333333,-11.580071174377224
NO,9,1,1,2,10,2,2,30,30,taker_exit,581,336,0.5783132530120482,335,0.9970238095238095,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-2.8967297762478483,-5.008928571428571,-11.586919104991393
NO,9,1,1,3,10,1,0,30,40,taker_exit,581,336,0.5783132530120482,336,1.0,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-2.8984509466437176,-5.011904761904762,-11.59380378657487
NO,8,0,1,2,13,2,1,20,30,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.900355871886121,-5.563139931740614,-11.601423487544483
NO,9,0,1,3,10,2,0,20,20,taker_exit,562,300,0.5338078291814946,296,0.9866666666666667,39.14,9,0.36666666666666664,-2.473333333333333,-2.900355871886121,-5.433333333333334,-11.601423487544483
NO,10,0,1,3,10,2,2,40,40,taker_exit,585,300,0.5128205128205128,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-2.9008547008547008,-5.656666666666666,-11.603418803418803
NO,9,1,1,3,10,1,1,20,30,taker_exit,562,333,0.5925266903914591,332,0.996996996996997,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-2.902135231316726,-4.897897897897898,-11.608540925266905
NO,8,1,1,1,13,1,1,30,40,taker_exit,584,342,0.5856164383561644,341,0.9970760233918129,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-2.9075342465753424,-4.964912280701754,-11.63013698630137
NO,10,0,1,0,12,1,0,20,30,taker_exit,561,297,0.5294117647058824,296,0.9966329966329966,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-2.9180035650623886,-5.511784511784512,-11.672014260249554
NO,8,0,1,2,13,2,2,20,30,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.925266903914591,-5.610921501706485,-11.701067615658364
NO,8,0,1,2,13,2,2,20,40,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.925266903914591,-5.610921501706485,-11.701067615658364
NO,8,0,1,2,13,1,2,20,30,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.9288256227758005,-5.617747440273037,-11.715302491103202
NO,10,0,1,1,11,1,2,30,20,taker_exit,577,300,0.5199306759098787,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-2.930675909878683,-5.636666666666667,-11.722703639514732
NO,8,0,2,0,13,1,1,40,20,taker_exit,590,364,0.6169491525423729,349,0.9587912087912088,43.59065934065934,8.184065934065934,0.41483516483516486,-2.107142857142857,-2.947457627118644,-4.777472527472527,-11.789830508474576
NO,9,1,1,2,10,2,2,30,20,taker_exit,581,336,0.5783132530120482,332,0.9880952380952381,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-2.9535283993115318,-5.107142857142857,-11.814113597246127
NO,10,0,1,2,11,2,2,40,40,taker_exit,585,300,0.5128205128205128,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-2.9555555555555557,-5.763333333333334,-11.822222222222223
NO,8,1,1,0,12,1,1,20,40,taker_exit,562,339,0.603202846975089,339,1.0,45.26548672566372,8,0.43952802359882004,-1.3126843657817109,-2.9590747330960854,-4.905604719764011,-11.836298932384341
NO,10,1,1,0,12,1,2,30,20,taker_exit,577,338,0.58578856152513,329,0.9733727810650887,41.99112426035503,10,0.40236686390532544,-1.7544378698224852,-2.9601386481802425,-5.053254437869822,-11.84055459272097
NO,10,0,1,0,13,1,2,20,20,taker_exit,561,297,0.5294117647058824,287,0.9663299663299664,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-2.985739750445633,-5.63973063973064,-11.942959001782532
NO,9,1,1,1,10,1,0,30,40,taker_exit,581,336,0.5783132530120482,336,1.0,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-2.989672977624785,-5.169642857142857,-11.95869191049914
NO,9,1,1,3,10,2,1,20,30,taker_exit,562,333,0.5925266903914591,332,0.996996996996997,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-2.991103202846975,-5.048048048048048,-11.9644128113879
NO,10,2,1,3,11,2,2,20,20,taker_exit,561,356,0.6345811051693404,355,0.9971910112359551,43.390449438202246,10,0.41853932584269665,-1.5365168539325842,-2.9964349376114083,-4.72191011235955,-11.985739750445633
NO,8,0,1,0,12,1,1,40,40,taker_exit,590,297,0.5033898305084745,297,1.0,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-3.0050847457627117,-5.96969696969697,-12.020338983050847
NO,8,1,1,3,13,2,1,30,30,taker_exit,584,342,0.5856164383561644,341,0.9970760233918129,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-3.006849315068493,-5.1345029239766085,-12.027397260273972
NO,9,2,1,2,10,1,2,30,40,taker_exit,581,357,0.6144578313253012,357,1.0,41.0812324929972,9,0.4005602240896359,-1.0252100840336134,-3.0068846815834767,-4.893557422969188,-12.027538726333907
NO,10,0,1,3,11,2,0,20,40,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.0071301247771838,-5.68013468013468,-12.028520499108735
NO,10,0,1,1,10,2,2,40,40,taker_exit,585,300,0.5128205128205128,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-3.0136752136752136,-5.876666666666667,-12.054700854700855
NO,9,1,1,1,10,1,1,30,20,taker_exit,581,336,0.5783132530120482,332,0.9880952380952381,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-3.017211703958692,-5.217261904761905,-12.068846815834767
NO,10,0,1,0,12,1,0,40,30,taker_exit,585,300,0.5128205128205128,299,0.9966666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.0188034188034187,-5.886666666666667,-12.075213675213675
NO,8,1,1,2,13,2,1,30,20,taker_exit,584,342,0.5856164383561644,339,0.9912280701754386,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-3.018835616438356,-5.154970760233918,-12.075342465753424
NO,8,1,1,0,12,1,1,20,30,taker_exit,562,339,0.603202846975089,338,0.9970501474926253,45.26548672566372,8,0.43952802359882004,-1.3126843657817109,-3.02135231316726,-5.008849557522124,-12.08540925266904
NO,9,0,1,0,12,1,1,20,30,taker_exit,562,300,0.5338078291814946,298,0.9933333333333333,39.14,9,0.36666666666666664,-2.473333333333333,-3.0231316725978647,-5.663333333333333,-12.092526690391459
NO,8,0,2,0,13,1,0,20,40,taker_exit,562,356,0.6334519572953736,354,0.9943820224719101,43.806179775280896,8.176966292134832,0.41853932584269665,-1.952247191011236,-3.0320284697508897,-4.786516853932584,-12.128113879003559
NO,10,0,1,3,10,2,1,20,30,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.037433155080214,-5.737373737373737,-12.149732620320856
